YEAR;MO;DY;ALLSKY_SFC_SW_DWN;ALLSKY_KT;T2M;T2M_MAX;T2M_MIN;TS;RH2M;PRECTOTCORR;PS;WS10M;WD10M
1984;1;1;2;0.47;7.85;13.01;2.95;6.78;67;0.07;98.79;2.23;54.94
1984;1;2;2.71;0.63;9.37;16.2;4.84;7.73;65.38;0;99.19;2.24;286.25
1984;1;3;2.84;0.66;10.09;16.29;5.04;8.12;71.69;0;99.61;2.05;171.75
1984;1;4;2.9;0.67;9.48;14.8;5.88;8.73;86.62;0.3;99.37;1.94;161.25
1984;1;5;2.23;0.52;8.64;13.04;5.32;7.69;81.25;1.68;99.34;2.47;111.25
1984;1;6;2.1;0.48;7.94;11.58;5.16;7.41;79.62;0.05;99.48;3.23;36.31
1984;1;7;1.63;0.38;9.23;13.43;4.79;9.36;77.94;3.72;98.83;2.41;61.75
1984;1;8;1.14;0.26;10.33;14.15;7.43;9.55;87.69;6.99;98.48;4.14;211.69
1984;1;9;1.84;0.41;10.16;15.2;5.82;8.93;78.06;0.99;98.94;2.05;246
1984;1;10;2.76;0.62;10.95;15.21;8.44;10.65;82.69;3.82;99.39;2.13;180.44
1984;1;11;2;0.45;11.15;14.16;9.17;10.31;83.94;5.3;99.25;2.61;181.81
1984;1;12;2.07;0.46;10.57;14.19;7.99;10.09;80.44;0.02;98.88;2.13;89.69
1984;1;13;1.9;0.42;8.87;11.62;6.51;8.58;80.19;8.32;98.24;3.77;70.94
1984;1;14;1.22;0.27;8.57;11.77;6.54;7.95;89.44;0.6;98.41;1.58;85
1984;1;15;2.95;0.64;9.76;15.01;5.25;8.07;76.81;0.38;98.63;1.94;207.44
1984;1;16;2.83;0.62;10.19;15.19;6.79;9.53;82.12;0.28;98.68;2.62;131.75
1984;1;17;0.66;0.14;10.47;13.65;7.81;9.87;88.31;31.19;98.05;4.7;177.69
1984;1;18;2.46;0.52;9.74;13.51;6.55;8.56;73.25;2.16;98.34;2.43;127.44
1984;1;19;2.88;0.61;9.27;13.83;5.44;7.9;75.94;0;98.95;2.09;252.94
1984;1;20;3.3;0.7;10.36;13.97;8.59;9.37;82.25;0.02;99.17;1.72;158.75
1984;1;21;3.3;0.69;10.58;12.78;8.98;9.31;84.25;0.17;99.21;1.69;183
1984;1;22;3.12;0.64;10.65;15.45;6.12;9.76;79.69;0.84;99.04;2.02;155.12
1984;1;23;2.1;0.43;11.22;14.68;9.63;11.05;86.81;0.61;99.02;2.31;173.5
1984;1;24;2.43;0.49;10.11;14.1;6.34;10.13;83.81;1.27;98.69;2.91;75.62
1984;1;25;2.18;0.44;9.58;12.08;5.65;9.36;90.12;23.03;98.49;5.29;117.31
1984;1;26;0.8;0.16;9.67;11.84;5.69;8.81;87.31;47.02;97.91;4.62;197.94
1984;1;27;2.75;0.55;7.91;12.07;5.26;7.39;68.5;1.92;98.16;3.48;339.38
1984;1;28;3.01;0.59;9.11;14.81;5.97;8.36;63.94;0.06;98.76;7.05;340.75
1984;1;29;3.13;0.61;7.84;14.42;4.13;7.36;63.88;0;98.95;5.43;310.81
1984;1;30;3.29;0.63;7.8;13.44;3.15;6.73;67.75;0;99.01;2.57;191.81
1984;1;31;3.28;0.62;9.39;14.45;4.94;8.85;83.62;0.19;98.95;1.89;100.19
1984;2;1;2.77;0.52;10.43;14.08;7.9;9.9;85.69;0.49;98.88;2.13;169.75
1984;2;2;2.99;0.55;9.76;13.23;7.68;9.58;85.44;0.56;98.9;2.73;103.19
1984;2;3;2.76;0.51;9.26;13.25;6.38;8.56;71.44;0;98.78;4.73;28.94
1984;2;4;3.54;0.65;10.96;17.36;5.76;9.28;65.56;0;98.82;2.3;136.06
1984;2;5;3.79;0.69;10.82;16.94;6.04;9.48;69.38;0;98.91;2.26;97.19
1984;2;6;2.66;0.48;9.55;13.15;6.4;8.99;74.06;2.49;98.48;4.44;29.88
1984;2;7;2.87;0.51;7.02;11.08;4.23;6.88;87.75;3.58;97.34;4.29;66.94
1984;2;8;2.63;0.46;9.94;13.89;6.29;9.65;84;14.87;97.62;3.88;184
1984;2;9;2.53;0.44;12.26;14.41;10.55;11.73;87.5;26.03;98.04;6.99;207
1984;2;10;2.96;0.51;11.73;16.29;7.11;10.76;81.5;1.2;98.83;4.09;157.31
1984;2;11;4.07;0.7;10;15.12;5.59;9.41;76.12;0.21;98.42;2.45;119.38
1984;2;12;2.32;0.39;9.54;12.94;6.43;9.21;88.94;11.24;98.39;3.73;203.69
1984;2;13;3.07;0.52;9.89;13.01;7.75;9.51;86.31;9.9;98.35;3.27;215.31
1984;2;14;2.43;0.4;9.23;14.21;5.11;8.69;71.88;0.05;99.12;3.48;253.12
1984;2;15;3.25;0.53;9.85;13.25;7.62;8;73.12;0.51;99.3;1.91;195.94
1984;2;16;3.64;0.59;9.57;14.41;4.25;8.86;72.06;0.13;99.11;1.95;198.25
1984;2;17;4.37;0.7;10.4;14.83;6.57;9.24;67.94;0;99.38;1.85;149.12
1984;2;18;4.53;0.72;9.76;14.93;4.87;8.54;68.62;0;99.74;2.04;135.31
1984;2;19;4.5;0.71;9.05;14.62;4.01;7.97;62.56;0;99.49;2.59;55.31
1984;2;20;4.5;0.7;8.79;14.25;3.85;8.22;65.25;0;99.29;2.45;131.06
1984;2;21;4.16;0.64;10.52;15.8;5.35;9.44;67.31;0.04;99.4;1.97;202.38
1984;2;22;4.43;0.68;10.7;16.69;5.23;9.69;65;0;99.37;2.19;241.31
1984;2;23;4.65;0.7;11.15;17.58;5.3;9.94;63.44;0;99.5;2.27;205.44
1984;2;24;4.41;0.66;11.22;17.26;5.84;10.06;61.81;0;99.5;2.58;153.69
1984;2;25;4.46;0.66;11.28;17.45;6.14;10.26;60.38;0;99.17;2.65;127.31
1984;2;26;4.73;0.7;10.33;17.71;5.15;9.56;51.88;0;99.05;4.08;242.56
1984;2;27;4.9;0.71;10.49;17.15;4.82;9.03;51.25;0;99.17;2.66;252.06
1984;2;28;4.02;0.58;10.52;16.37;3.87;9.8;73.25;0.01;99.12;3.42;144.94
1984;2;29;2.44;0.35;12.76;18.18;8.76;11.55;81.69;0.06;98.64;2.95;197.19
1984;3;1;2.36;0.34;13.69;19.05;10.76;12.14;81.88;0.08;98.88;2.33;183.75
1984;3;2;1.93;0.27;12.75;18.49;7.56;12.39;78.56;0.01;98.91;2.37;85.69
1984;3;3;3.24;0.45;14.06;19.27;9.78;12.94;71.88;0;98.19;3.45;81.19
1984;3;4;4.75;0.66;12.4;17.4;8.73;11.06;80.19;0;98.76;2.05;227.94
1984;3;5;4.92;0.67;12.62;18.3;7.55;12.33;76.25;0.16;99.03;2.46;70.69
1984;3;6;2.41;0.33;13.61;17.55;9.98;12.76;83.38;0.28;98.36;2.26;79.44
1984;3;7;4.19;0.56;11.41;16.1;7.73;11.1;78.12;1.08;98.17;4.45;221
1984;3;8;3.99;0.53;11.51;15.79;7.89;11.72;80.12;11.6;98.36;4.32;196.81
1984;3;9;1.72;0.23;12.94;17.71;9.82;12.72;79.88;0.27;98.3;4.8;82.88
1984;3;10;3.66;0.48;13.01;15.85;9.8;13.26;85;3.81;98.11;4.6;187.75
1984;3;11;3.32;0.43;10.83;15.54;7.59;10.36;78.88;5.34;98.01;3.48;230.69
1984;3;12;4.53;0.58;10.65;16.21;5.05;10.58;61.94;5.16;98.02;3.9;272
1984;3;13;4.27;0.55;10.42;15.59;5.37;10.3;62.75;1.22;97.81;2.58;296.94
1984;3;14;3.82;0.48;9.73;14.8;6.45;9.87;64;1.39;97.62;2.43;259.88
1984;3;15;4.82;0.6;10.2;16.45;6.07;9.94;59.19;0.99;97.69;2.93;233.12
1984;3;16;4.43;0.55;9.7;15.13;5.14;9.13;70.38;0;98.34;2.38;144.5
1984;3;17;4.19;0.52;11.04;16.48;5.51;11.14;74.5;0.81;98.11;2.55;163.5
1984;3;18;3.92;0.48;11.81;16.97;7.01;11.93;68.94;4.65;98.07;2.3;232.31
1984;3;19;5.71;0.7;11.05;16.51;5.72;11.16;67.88;0.44;98.37;2.97;236.25
1984;3;20;4.04;0.48;11.42;15.43;9.05;10.41;76.81;0.75;98.79;2.99;176.19
1984;3;21;4.44;0.53;11.62;15.62;7.49;11.83;77.69;0.19;99.01;1.84;133.44
1984;3;22;5.26;0.62;14.08;20.31;7.39;14.17;69.75;0.77;98.73;2.9;63.5
1984;3;23;2.88;0.34;12.68;15.95;10.78;12.42;92.06;10.37;97.8;2.16;148.19
1984;3;24;3.73;0.44;13.72;19;9.86;13.35;82.94;1.18;97.71;2.84;165.69
1984;3;25;3.51;0.41;12.73;16.44;8.8;12.48;84;4.66;97.96;2.23;149.88
1984;3;26;3.26;0.38;12.69;17.24;8.27;12.21;76.56;1.84;98.09;1.68;203.88
1984;3;27;5.76;0.66;12.55;18.37;6.89;12.28;67.94;0;98.84;3.4;247.12
1984;3;28;5.17;0.59;13.13;18.95;7.34;12.9;76.44;0;99.35;2.62;251.56
1984;3;29;5.83;0.66;14.96;20.97;8.3;14.51;65.06;0;99.2;2.39;131.69
1984;3;30;6.33;0.71;16.4;22.54;11.12;15.18;54.62;0;98.85;2.59;196.38
1984;3;31;5.47;0.61;15.22;21.35;9.29;14.6;62.5;0.14;98.63;2.95;257.75
1984;4;1;2.95;0.33;14.21;17.69;9.66;13.72;81.94;5.44;98.61;3.03;154.44
1984;4;2;6.12;0.67;14.37;20.19;8.55;14.54;72.12;0.01;98.84;2.77;131.5
1984;4;3;6.13;0.66;16.4;22.58;9.56;16.17;59.25;0;98.75;2.83;110.69
1984;4;4;6.02;0.65;18.41;24.87;12.37;17.52;58.31;0;98.46;2.72;147.19
1984;4;5;5.27;0.57;18.28;24.41;13.08;16.82;58.12;0;98.44;2.26;190.94
1984;4;6;4.84;0.52;19.39;26.93;13.4;18.73;59.81;0;98.23;2.38;122.56
1984;4;7;5.08;0.54;17.89;23.12;12.74;17.26;69.75;0.29;98;1.77;174.94
1984;4;8;4.27;0.45;14.85;18.79;11.32;14.54;71.19;2.68;97.74;4.34;211.56
1984;4;9;2.76;0.29;12.93;16.49;9.43;13.3;84.12;9.6;97.79;4.33;203.31
1984;4;10;3.04;0.32;12.18;15.04;9.27;12.37;84.12;22.47;98.02;2.67;171.62
1984;4;11;4.06;0.42;13.36;17.84;8.16;13.79;78.38;0.24;98.35;2.95;166.62
1984;4;12;4.48;0.46;14.66;18.77;11.16;14.19;81;1.59;98.72;2.86;174.69
1984;4;13;4.31;0.45;15.3;21.55;9.55;15.73;72.62;0.09;98.56;3.51;42.25
1984;4;14;5.33;0.55;15.64;20.6;12.11;16.48;74.69;0.14;98.22;3.09;117.94
1984;4;15;1.37;0.14;12.58;15.69;9.63;13.02;87.81;26.07;97.65;1.82;149.25
1984;4;16;2.83;0.29;11.83;15.05;8.58;12.4;83.06;7.39;97.27;2.14;133.69
1984;4;17;5.07;0.51;13.19;18.81;7.8;13.58;72.69;0.04;98.06;2.96;228.94
1984;4;18;7.4;0.74;15.82;21.87;10.07;16.37;73.88;0.88;98.31;2.75;77.06
1984;4;19;4.32;0.43;15.21;19.75;10.52;15.42;75.75;0.46;98.3;4.31;172.94
1984;4;20;5.12;0.51;13.73;17.85;10.4;13.88;78.88;0.64;98.43;2.97;209.25
1984;4;21;4.29;0.42;13.03;16.16;9.48;13.3;79.88;2.61;98.12;4.77;206.62
1984;4;22;4.6;0.45;12.98;18.66;7.62;13.47;63.75;0.38;98.34;2.87;236.12
1984;4;23;3.92;0.38;11.94;15.33;8.22;11.36;67.88;4.55;98.4;1.93;243
1984;4;24;7.06;0.69;12.23;18.11;6.26;12.94;64.38;0.81;98.34;3.16;255.81
1984;4;25;6.86;0.66;13.01;16.38;9.82;12.72;72.81;5.38;98.56;3.13;208.69
1984;4;26;2.55;0.25;13.77;17.64;9.65;13.29;75.25;2.14;98.31;5.19;222.81
1984;4;27;3.46;0.34;13.29;17.69;9.23;13.28;76.44;0.9;98.29;2.86;181.06
1984;4;28;4.81;0.46;14.34;19.8;8.28;14.55;70.81;0.02;98.19;3.91;236.69
1984;4;29;4.88;0.47;15.32;21.3;9.06;15.42;69.56;1.14;98.19;3.98;264.38
1984;4;30;6.98;0.66;14.1;21.14;6.91;14.29;55.12;0.08;98.41;2.68;295.62
1984;5;1;6.62;0.62;15.7;23.15;8.67;16.12;65.56;0.01;98.78;2.7;100.25
1984;5;2;4.67;0.44;17.54;22.99;12.08;17.3;67.75;0.07;98.47;2.01;126.31
1984;5;3;5.44;0.51;20.32;27.65;13.58;19.96;58.94;0.27;97.83;4.44;136.44
1984;5;4;7.06;0.66;19.76;27.33;13.77;20.11;46.88;0.33;97.93;4.99;261.5
1984;5;5;6.81;0.63;18.16;25.96;11.61;18.19;46.5;0;97.99;6.15;290
1984;5;6;7.19;0.66;18.47;25.37;11.76;18.68;55.38;0;98.2;3.46;231.06
1984;5;7;4.53;0.42;17.93;24.15;11.23;18.18;57.19;0.37;97.98;2.36;167.31
1984;5;8;5.24;0.48;17.93;23.62;12.23;18.1;62.75;0.3;97.83;2.78;247.69
1984;5;9;6.87;0.63;18.88;26.13;11.47;19.55;58.12;0.33;98.06;2.72;231.62
1984;5;10;7.29;0.67;19.98;27.2;12.33;20.78;57.19;0;98.17;2.52;240.5
1984;5;11;7.61;0.7;21.37;29.1;13.66;21.83;53.69;0;98.43;2.62;170.88
1984;5;12;7.14;0.65;23.75;30.76;16.63;23.72;50.88;0;98.65;2.39;141.38
1984;5;13;4.96;0.45;24.64;31.82;17.99;24.58;50.69;0.01;98.22;3.4;104.88
1984;5;14;5.91;0.54;21.81;28.63;15.87;22.92;64.56;0.13;98.05;2.66;175.5
1984;5;15;5.58;0.51;21.15;27.51;15.22;22.31;61;0;98.3;2.54;155.75
1984;5;16;7.85;0.71;23.77;32.68;15.94;24.37;43.06;0;98.41;3.58;241
1984;5;17;6.38;0.57;24.38;31.6;17.73;24.95;43.06;0;98.65;3.17;227.88
1984;5;18;3.1;0.28;24.33;31.45;19.18;24.65;56.31;0.06;98.46;2.16;157.06
1984;5;19;6.73;0.6;24.63;31.85;18.01;25.48;49.75;0;98.04;2.43;285.12
1984;5;20;7.45;0.66;24.3;31.82;17.06;25.31;46.19;0;98.17;2.59;293.5
1984;5;21;6.21;0.55;23.92;32.36;16.34;24.91;46.06;0;98.38;2.76;244.38
1984;5;22;7.08;0.63;24.36;31.64;17.14;25.33;50.75;0;98.43;2.71;225.12
1984;5;23;5.58;0.49;25.86;32.8;18.42;26.67;47.62;0.05;98.12;2.2;221.31
1984;5;24;6.52;0.58;25.3;31.94;18.94;26.29;50.25;0;97.96;2.98;257.56
1984;5;25;6.79;0.6;24.1;31.41;17.72;25.2;55.25;0;97.8;3.64;150.81
1984;5;26;6.57;0.58;22.98;30.97;16.19;23.98;57.25;0.34;98.01;3.32;205.75
1984;5;27;7.47;0.66;21.75;28.62;15.89;22.7;48.12;6.31;98.14;4.2;311.75
